Freq;FreqRad;Magnitud;Fase
0.16000000;1.00530965;0.00027925;-0.63364493
0.20142807;1.26560986;0.00048213;-0.79773985
0.25358291;1.59330842;0.00080363;-1.00435113
0.31924197;2.00585646;0.00131307;-1.26451521
0.40190183;2.52522367;0.00212020;-1.59215391
0.50596443;3.17906825;0.00339874;-2.00484917
0.63697147;4.00220980;0.00542338;-2.52484588
0.80189957;5.03848362;0.00862793;-3.18036941
1.00953175;6.34307507;0.01369596;-4.00739415
1.27092518;7.98545839;0.02170095;-5.05208976
1.60000000;10.05309649;0.03431895;-6.37434081
2.01428066;12.65609864;0.05414180;-8.05306048
2.53582911;15.93308419;0.08511108;-10.19465378
3.19241970;20.05856458;0.13303975;-12.94723996
4.01901829;25.25223667;0.20598498;-16.52571264
5.05964426;31.79068245;0.31355655;-21.25737496
6.36971473;40.02209800;0.46207040;-27.66520557
8.01899574;50.38483620;0.63576728;-36.60751111
10.09531751;63.43075066;0.73694313;-49.42268068
12.70925176;79.85458390;0.44424883;-67.59329022
16.00000000;100.53096491;-0.87426070;-90.56434964
20.14280659;126.56098640;-3.61857970;-113.39043597
25.35829108;159.33084193;-7.35669484;-131.29226580
31.92419704;200.58564578;-11.46600267;-143.88981687
40.19018290;252.52236672;-15.63969593;-152.68777467
50.59644256;317.90682451;-19.78637141;-159.00183459
63.69714729;400.22097995;-23.89216830;-163.67078766
80.18995738;503.84836200;-27.96381523;-167.20591799
100.95317512;634.30750661;-32.01092269;-169.92800951
127.09251756;798.54583896;-36.04147285;-172.04845012
160.00000000;1005.30964915;-40.06122644;-173.71376167
201.42806589;1265.60986404;-44.07412466;-175.03033348
253.58291079;1593.30841925;-48.08282530;-176.07898632
319.24197040;2005.85645782;-52.08915586;-176.92463421
401.90182904;2525.22366716;-56.09445943;-177.62426324
505.96442563;3179.06824505;-60.09985764;-178.23592253
636.97147289;4002.20979953;-64.10645055;-178.83219487
801.89957380;5038.48361996;-68.11541009;-179.52409245
1009.53175117;6343.07506607;-72.12766533;179.49323409
1270.92517556;7985.45838960;-76.14182757;177.85073599
1591.00000000;9996.54782372;-80.04716361;174.93072478
